name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий
@babel/helper-remap-async-to-generator;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fhelper-remap-async-to-generator;npm install @babel/helper-remap-async-to-generator@8.0.1;@babel/plugin-transform-async-generator-functions, @babel/plugin-transform-async-to-generator;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-replace-supers;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fhelper-replace-supers;npm install @babel/helper-replace-supers@8.0.1;@babel/helper-create-class-features-plugin, @babel/plugin-transform-classes, @babel/plugin-transform-object-super;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-skip-transparent-expression-wrappers;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-skip-transparent-expression-wrappers;npm install @babel/helper-skip-transparent-expression-wrappers@8.0.0;@babel/helper-create-class-features-plugin, @babel/plugin-bugfix-safari-rest-destructuring-rhs-array, @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining, @babel/plugin-transform-for-of, @babel/plugin-transform-optional-chaining, @babel/plugin-transform-spread;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-split-export-declaration;7.24.7;7.24.7;https://www.npmjs.com/package/%40babel%2Fhelper-split-export-declaration;npm install @babel/helper-split-export-declaration@7.24.7;@angular-devkit/build-angular, @angular/build;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-string-parser;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-string-parser;npm install @babel/helper-string-parser@8.0.0;@babel/types;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-validator-identifier;8.0.4;8.0.4;https://www.npmjs.com/package/%40babel%2Fhelper-validator-identifier;npm install @babel/helper-validator-identifier@8.0.4;@babel/code-frame, @babel/helper-module-transforms, @babel/plugin-transform-modules-systemjs, @babel/types;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-validator-option;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-validator-option;npm install @babel/helper-validator-option@8.0.0;@babel/helper-compilation-targets, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helper-wrap-function;8.0.0;8.0.0;https://www.npmjs.com/package/%40babel%2Fhelper-wrap-function;npm install @babel/helper-wrap-function@8.0.0;@babel/helper-remap-async-to-generator;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/helpers;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fhelpers;npm install @babel/helpers@8.0.5;@babel/core;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/parser;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fparser;npm install @babel/parser@8.0.5;@babel/core, @babel/generator, @babel/template, @babel/traverse, @types/babel__core, @types/babel__template, istanbul-lib-instrument;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-bugfix-firefox-class-in-computed-class-key;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-firefox-class-in-computed-class-key;npm install @babel/plugin-bugfix-firefox-class-in-computed-class-key@8.0.1;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-bugfix-safari-class-field-initializer-scope;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-safari-class-field-initializer-scope;npm install @babel/plugin-bugfix-safari-class-field-initializer-scope@8.0.1;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-safari-id-destructuring-collision-in-function-expression;npm install @babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@8.0.1;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array;8.0.5;8.0.5;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-safari-rest-destructuring-rhs-array;npm install @babel/plugin-bugfix-safari-rest-destructuring-rhs-array@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
