name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий;Версия ПО (опросник);Статус
@babel/plugin-transform-parameters;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-parameters/-/plugin-transform-parameters-8.0.5.tgz;npm install @babel/plugin-transform-parameters@8.0.5;@babel/plugin-transform-object-rest-spread, @babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-private-property-in-object;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-private-property-in-object/-/plugin-transform-private-property-in-object-8.0.5.tgz;npm install @babel/plugin-transform-private-property-in-object@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/plugin-transform-regenerator;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-regenerator/-/plugin-transform-regenerator-8.0.5.tgz;npm install @babel/plugin-transform-regenerator@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.2;версия не совпадает
@babel/plugin-transform-spread;8.0.5;8.0.5;https://registry.npmjs.org/@babel/plugin-transform-spread/-/plugin-transform-spread-8.0.5.tgz;npm install @babel/plugin-transform-spread@8.0.5;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.1;версия не совпадает
@babel/traverse;8.0.5;8.0.5;https://registry.npmjs.org/@babel/traverse/-/traverse-8.0.5.tgz;npm install @babel/traverse@8.0.5;@babel/core, @babel/helper-create-class-features-plugin, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-remap-async-to-generator, @babel/helper-replace-supers, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-wrap-function, @babel/plugin-transform-async-generator-functions, @babel/plugin-transform-classes;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@babel/types;8.0.5;8.0.5;https://registry.npmjs.org/@babel/types/-/types-8.0.5.tgz;npm install @babel/types@8.0.5;@babel/core, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-optimise-call-expression, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-split-export-declaration, @babel/helper-wrap-function, @babel/helpers, @babel/parser, @babel/preset-modules, @babel/template, @babel/traverse, @types/babel__core, @types/babel__generator, @types/babel__template, @types/babel__traverse, jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;8.0.4;версия не совпадает
@bcoe/v8-coverage;0.2.3;0.2.3;https://registry.npmjs.org/@bcoe/v8-coverage/-/v8-coverage-0.2.3.tgz;npm install @bcoe/v8-coverage@0.2.3;@jest/reporters;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;1.0.2;версия не совпадает
@bramus/specificity;2.4.2;2.4.2;https://registry.npmjs.org/@bramus/specificity/-/specificity-2.4.2.tgz;npm install @bramus/specificity@2.4.2;jsdom;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@cacheable/memory;2.2.0;2.2.0;https://registry.npmjs.org/@cacheable/memory/-/memory-2.2.0.tgz;npm install @cacheable/memory@2.2.0;cacheable;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@cacheable/utils;2.5.0;2.5.0;https://registry.npmjs.org/@cacheable/utils/-/utils-2.5.0.tgz;npm install @cacheable/utils@2.5.0;@cacheable/memory, cacheable;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/cjs-to-esm;0.19.2;0.19.2;https://registry.npmjs.org/@chialab/cjs-to-esm/-/cjs-to-esm-0.19.2.tgz;npm install @chialab/cjs-to-esm@0.19.2;@chialab/esbuild-plugin-commonjs;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/esbuild-plugin-commonjs;0.19.1;0.19.1;https://registry.npmjs.org/@chialab/esbuild-plugin-commonjs/-/esbuild-plugin-commonjs-0.19.1.tgz;npm install @chialab/esbuild-plugin-commonjs@0.19.1;@angular-architects/native-federation;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/esbuild-rna;0.19.3;0.19.3;https://registry.npmjs.org/@chialab/esbuild-rna/-/esbuild-rna-0.19.3.tgz;npm install @chialab/esbuild-rna@0.19.3;@chialab/esbuild-plugin-commonjs;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/estransform;0.20.1;0.20.1;https://registry.npmjs.org/@chialab/estransform/-/estransform-0.20.1.tgz;npm install @chialab/estransform@0.20.1;@chialab/cjs-to-esm, @chialab/esbuild-rna;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@chialab/node-resolve;0.19.1;0.19.1;https://registry.npmjs.org/@chialab/node-resolve/-/node-resolve-0.19.1.tgz;npm install @chialab/node-resolve@0.19.1;@chialab/esbuild-rna;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/color-helpers;6.1.1;6.1.1;https://registry.npmjs.org/@csstools/color-helpers/-/color-helpers-6.1.1.tgz;npm install @csstools/color-helpers@6.1.1;@csstools/css-color-parser;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-calc;3.3.0;3.3.0;https://registry.npmjs.org/@csstools/css-calc/-/css-calc-3.3.0.tgz;npm install @csstools/css-calc@3.3.0;@asamuzakjp/css-color, @csstools/css-color-parser;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-color-parser;4.2.2;4.2.2;https://registry.npmjs.org/@csstools/css-color-parser/-/css-color-parser-4.2.2.tgz;npm install @csstools/css-color-parser@4.2.2;@asamuzakjp/css-color;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
@csstools/css-parser-algorithms;4.0.0;4.0.0;https://registry.npmjs.org/@csstools/css-parser-algorithms/-/css-parser-algorithms-4.0.0.tgz;npm install @csstools/css-parser-algorithms@4.0.0;@asamuzakjp/css-color;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.;;не найден в опроснике
